Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
3acbbe6269234a22b93f7e44aa8b1798,45,normal,2,0.05930786207318306,0.11197473853826523,940,15528,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,normal,5,0.8985820412635803,0.9465822577476501,50572,47036,4,2
3acbbe6269234a22b93f7e44aa8b1798,45,normal,6,0.016149595379829407,0.031785864382982254,784,47036,4,2
3acbbe6269234a22b93f7e44aa8b1798,45,normal,9,0.4932193458080292,0.6606120467185974,7705,15528,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,normal,10,0.09958958625793457,0.18113955855369568,1619,15528,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,point,1,0.004649522248655558,0.009256008081138134,796,61866,3,1
3acbbe6269234a22b93f7e44aa8b1798,45,point,2,0.01473486889153719,0.02904181182384491,940,61866,3,1
3acbbe6269234a22b93f7e44aa8b1798,45,point,5,0.9223405122756958,0.9596015810966492,50572,48021,3,2
3acbbe6269234a22b93f7e44aa8b1798,45,point,6,0.014635870233178139,0.02884950302541256,784,48021,3,2
3acbbe6269234a22b93f7e44aa8b1798,45,point,9,0.12314547598361969,0.21928676962852478,7705,61866,3,1
3acbbe6269234a22b93f7e44aa8b1798,45,point,10,0.021266669034957886,0.04164763167500496,1619,61866,3,1
3acbbe6269234a22b93f7e44aa8b1798,45,matte,1,0.03704523667693138,0.0714438185095787,796,13257,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,matte,2,0.0684075877070427,0.12805522978305817,940,13257,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,matte,5,0.9139418601989746,0.9550361633300781,50572,47707,4,2
3acbbe6269234a22b93f7e44aa8b1798,45,matte,6,0.015752319246530533,0.031016064807772636,784,47707,4,2
3acbbe6269234a22b93f7e44aa8b1798,45,matte,9,0.5701872706413269,0.7262665629386902,7705,13257,4,3
3acbbe6269234a22b93f7e44aa8b1798,45,matte,10,0.026780784130096436,0.05216456204652786,1619,13257,4,3
3b204e1c8fa34183821cf925128f545c,46,normal,1,0.0012574746506288648,0.002511790720745921,202,149492,5,1
3b204e1c8fa34183821cf925128f545c,46,normal,2,0.004333116114139557,0.008628842420876026,3846,887583,5,0
3b204e1c8fa34183821cf925128f545c,46,normal,3,0.04189164191484451,0.08041457831859589,7196,149492,5,1
3b204e1c8fa34183821cf925128f545c,46,normal,4,0.0025285633746534586,0.005044371820986271,378,149492,5,1
3b204e1c8fa34183821cf925128f545c,46,normal,5,0.38776081800460815,0.5588294863700867,14265,5555,5,3
3b204e1c8fa34183821cf925128f545c,46,normal,6,0.005358146037906408,0.010659178718924522,801,149492,5,1
3b204e1c8fa34183821cf925128f545c,46,normal,7,0.9841666221618652,0.9920201301574707,110147,108403,5,2
3b204e1c8fa34183821cf925128f545c,46,point,1,0.00019155515474267304,0.00038303693872876465,202,109448,4,1
3b204e1c8fa34183821cf925128f545c,46,point,2,0.004371144808828831,0.008704242296516895,3846,879861,4,0
3b204e1c8fa34183821cf925128f545c,46,point,3,0.00025725900195539,0.0005143856396898627,7196,109448,4,1
